Region,Comuna,Total,Validos,Apruebo,Rechazo,Nulo,Blanco,Validos_per,Apruebo_per,Rechazo_per,Nulo_per,Blanco_per
ANTOFAGASTA,ANTOFAGASTA,144073,143514,119982,23532,430,129,0.9961200224885995,83.60299343618044,16.39700656381956,0.29845980856926696,0.08953794257078009
ANTOFAGASTA,CALAMA,62826,62372,52113,10259,361,93,0.9927736924203355,83.55191432052844,16.448085679471557,0.5746028714226594,0.14802788654378762
ANTOFAGASTA,MARIA ELENA,2138,2125,1938,187,8,5,0.9939195509822264,91.2,8.799999999999999,0.37418147801683815,0.23386342376052385
ANTOFAGASTA,MEJILLONES,5128,5105,4572,533,16,7,0.9955148205928237,89.55925563173359,10.440744368266405,0.31201248049922,0.13650546021840873
ANTOFAGASTA,OLLAGUE,379,378,317,61,1,0,0.9973614775725593,83.86243386243386,16.137566137566136,0.2638522427440633,0
ANTOFAGASTA,SAN PEDRO DE ATACAMA,3337,3309,2911,398,16,12,0.9916092298471681,87.97219703838017,12.027802961619825,0.47947258016182204,0.3596044351213665
ANTOFAGASTA,SIERRA GORDA,856,853,749,104,3,0,0.9964953271028038,87.80773739742087,12.192262602579133,0.35046728971962615,0
ANTOFAGASTA,TALTAL,4665,4637,4072,565,19,9,0.9939978563772776,87.8153978865646,12.18460211343541,0.40728831725616294,0.19292604501607716
ANTOFAGASTA,TOCOPILLA,10287,10233,9210,1023,37,17,0.994750656167979,90.00293169158604,9.997068308413954,0.3596772625644017,0.16525712063769807
ARICA Y PARINACOTA,ARICA,84201,83578,63906,19672,453,170,0.9926010379924229,76.4627054966618,23.5372945033382,0.5379983610645954,0.20189783969311528
ARICA Y PARINACOTA,CALLE LARGA,6609,6562,5607,955,37,10,0.9928884853986988,85.44651021030174,14.553489789698263,0.5598426388258435,0.15130882130428205
ARICA Y PARINACOTA,GENERAL LAGOS,313,300,220,80,9,4,0.9584664536741214,73.33333333333333,26.666666666666668,2.8753993610223643,1.2779552715654952
ARICA Y PARINACOTA,PUTRE,1075,1065,719,346,7,3,0.9906976744186047,67.51173708920187,32.48826291079812,0.6511627906976745,0.27906976744186046
ATACAMA,ALTO DEL CARMEN,1817,1800,1559,241,9,8,0.9906439185470556,86.61111111111111,13.38888888888889,0.49532195927352773,0.4402861860209136
ATACAMA,CALDERA,8023,7937,6812,1125,74,12,0.9892808176492583,85.82587879551468,14.17412120448532,0.922348248784744,0.14956998628941792
ATACAMA,CHAITEN,1363,1351,964,387,7,5,0.9911958914159942,71.35455218356773,28.645447816432274,0.5135730007336757,0.36683785766691124
ATACAMA,CONTULMO,2094,2082,1149,933,9,3,0.994269340974212,55.18731988472623,44.81268011527377,0.42979942693409745,0.14326647564469913
ATACAMA,DIEGO DE ALMAGRO,5410,5385,4886,499,17,8,0.9953789279112755,90.73351903435469,9.26648096564531,0.3142329020332717,0.14787430683918668
ATACAMA,FREIRINA,2701,2686,2465,221,14,1,0.9944465012958164,91.77215189873418,8.227848101265822,0.518326545723806,0.037023324694557574
ATACAMA,HUASCO,4236,4212,3808,404,18,6,0.9943342776203966,90.40835707502374,9.591642924976258,0.424929178470255,0.141643059490085
ATACAMA,TIERRA AMARILLA,5785,5744,5084,660,26,15,0.9929127052722558,88.50974930362116,11.49025069637883,0.44943820224719105,0.25929127052722556
ATACAMA,VALLENAR,21075,20948,18485,2463,90,37,0.9939739027283512,88.24231430208135,11.757685697918657,0.42704626334519574,0.17556346381969157
AYSÉN DEL GRAL. C. IBÁÑEZ DEL CAMPO,AYSEN,8984,8921,7223,1698,42,21,0.9929875333926982,80.96625938796099,19.03374061203901,0.4674977738201247,0.23374888691006235
AYSÉN DEL GRAL. C. IBÁÑEZ DEL CAMPO,CHIGUAYANTE,38309,38114,29875,8239,147,48,0.9949098123156438,78.38327123891483,21.616728761085167,0.3837218408206949,0.12529692761492078
AYSÉN DEL GRAL. C. IBÁÑEZ DEL CAMPO,CHONCHI,3638,3606,3081,525,17,15,0.9912039582188016,85.44093178036606,14.559068219633945,0.46728971962616817,0.4123144584936778
AYSÉN DEL GRAL. C. IBÁÑEZ DEL CAMPO,COCHAMO,1159,1138,754,384,6,15,0.9818809318377912,66.25659050966608,33.74340949033392,0.5176876617773942,1.2942191544434858
AYSÉN DEL GRAL. C. IBÁÑEZ DEL CAMPO,CORRAL,2379,2361,1991,370,13,5,0.9924337957124842,84.32867429055484,15.67132570944515,0.546448087431694,0.2101723413198823
AYSÉN DEL GRAL. C. IBÁÑEZ DEL CAMPO,GUAITECAS,607,605,488,117,0,2,0.9967051070840197,80.66115702479338,19.33884297520661,0,0.3294892915980231
AYSÉN DEL GRAL. C. IBÁÑEZ DEL CAMPO,LAGO VERDE,373,371,247,124,0,2,0.9946380697050938,66.57681940700809,33.42318059299191,0,0.5361930294906166
AYSÉN DEL GRAL. C. IBÁÑEZ DEL CAMPO,OHIGGINS,236,236,153,83,0,0,1,64.83050847457628,35.16949152542373,0,0
AYSÉN DEL GRAL. C. IBÁÑEZ DEL CAMPO,RIO IBAÑEZ,932,924,637,287,2,6,0.9914163090128756,68.93939393939394,31.060606060606062,0.2145922746781116,0.6437768240343348
AYSÉN DEL GRAL. C. IBÁÑEZ DEL CAMPO,TORTEL,207,207,184,23,0,0,1,88.88888888888889,11.11111111111111,0,0
BIOBÍO,ALTO BIOBIO,1805,1693,1269,424,69,43,0.9379501385041551,74.95569994093326,25.044300059066742,3.822714681440443,2.3822714681440442
BIOBÍO,ANTUCO,1793,1772,1341,431,17,4,0.9882877858337981,75.67720090293454,24.322799097065463,0.9481316229782488,0.2230897936419409
BIOBÍO,ARAUCO,14467,14363,10377,3986,60,44,0.9928112255477984,72.24813757571538,27.751862424284617,0.41473698762701317,0.304140457593143
BIOBÍO,CABRERO,10055,9976,6858,3118,47,32,0.9921432123321731,68.74498797113071,31.255012028869288,0.4674291397314768,0.3182496270512183
BIOBÍO,CANELA,3781,3753,3320,433,16,12,0.9925945517058979,88.46256328270717,11.537436717292833,0.42316847394869084,0.3173763554615181
BIOBÍO,CHEPICA,4915,4893,3774,1119,17,5,0.9955239064089522,77.13059472716125,22.86940527283875,0.34587995930824006,0.10172939979654119
BIOBÍO,COMBARBALA,5074,5042,4428,614,17,15,0.9936933385888845,87.82229274097581,12.177707259024197,0.33504138746551043,0.29562475364603863
BIOBÍO,CONSTITUCION,18314,18204,14325,3879,75,35,0.9939936660478322,78.69149637442321,21.308503625576797,0.4095227694659824,0.19111062575079174
BIOBÍO,COQUIMBO,81691,81310,68738,12572,279,102,0.9953360835342938,84.53818718484811,15.461812815151887,0.3415308907958037,0.12486075577480996
BIOBÍO,CURACO DE VELEZ,1315,1303,1091,212,8,4,0.990874524714829,83.7298541826554,16.270145817344588,0.6083650190114068,0.3041825095057034
BIOBÍO,FLORIDA,3757,3722,2612,1110,23,12,0.9906840564280011,70.17732401934444,29.82267598065556,0.6121905775885015,0.31940377961139205
BIOBÍO,HUALPEN,43479,43219,34360,8859,193,67,0.9940201016582718,79.50207084846942,20.497929151530577,0.4438924538282849,0.15409738034453416
BIOBÍO,HUALQUI,9420,9322,7378,1944,59,39,0.9895966029723992,79.14610598583995,20.85389401416005,0.6263269639065818,0.4140127388535032
BIOBÍO,LAJA,9327,9232,7030,2202,69,26,0.9898145169936743,76.14818024263431,23.851819757365686,0.7397877130910261,0.27876058754154603
BIOBÍO,LEBU,8524,8416,5630,2786,79,29,0.987329892069451,66.89638783269962,33.103612167300376,0.9267949319568277,0.340215861098076
BIOBÍO,LOS ALAMOS,6650,6587,4186,2401,35,28,0.9905263157894737,63.54941551540914,36.450584484590856,0.5263157894736842,0.42105263157894735
BIOBÍO,LOS ANGELES,68740,68249,43288,24961,323,168,0.9928571428571429,63.42657035267916,36.573429647320836,0.4698865289496654,0.2443991853360489
BIOBÍO,LOTA,22990,22783,17050,5733,145,62,0.9909960852544585,74.8365008997937,25.163499100206295,0.6307090039147456,0.2696824706394084
BIOBÍO,MULCHEN,10136,10012,7252,2760,72,52,0.9877663772691397,72.43308030363563,27.566919696364362,0.7103393843725335,0.5130228887134964
BIOBÍO,NACIMIENTO,10403,10327,7267,3060,47,29,0.9926944150725752,70.3689357993609,29.631064200639102,0.45179275209074304,0.2787657406517351
BIOBÍO,NATALES,7798,7757,6506,1251,25,16,0.9947422416004104,83.87263117184477,16.127368828155213,0.32059502436522186,0.20518081559374196
BIOBÍO,PENCO,23135,23005,18663,4342,92,38,0.9943808082991139,81.1258422082156,18.874157791784395,0.39766587421655497,0.1642532958720553
BIOBÍO,QUILACO,1554,1530,1122,408,18,6,0.9845559845559846,73.33333333333333,26.666666666666668,1.1583011583011582,0.3861003861003861
BIOBÍO,QUILLECO,3240,3201,2203,998,23,16,0.9879629629629629,68.82224304904717,31.17775695095283,0.7098765432098766,0.49382716049382713
BIOBÍO,SAN PEDRO DE LA PAZ,49632,49408,36103,13305,159,65,0.9954867827208252,73.07116256476684,26.92883743523316,0.32035783365570597,0.1309638942617666
BIOBÍO,SAN ROSENDO,1958,1942,1591,351,12,4,0.9918283963227783,81.92584963954685,18.074150360453142,0.6128702757916241,0.20429009193054137
BIOBÍO,SANTA BARBARA,4654,4603,3257,1346,30,21,0.9890416845724108,70.75820117314795,29.241798826852055,0.6446067898581865,0.45122475290073055
BIOBÍO,SANTA JUANA,5141,5073,3541,1532,45,23,0.9867730013616028,69.80090676128523,30.199093238714763,0.8753160863645205,0.4473837774751994
BIOBÍO,TALCAHUANO,67865,67522,51933,15589,244,99,0.9949458483754513,76.91270993157787,23.087290068422146,0.3595373167317469,0.14587784572312681
BIOBÍO,TIRUA,3097,3037,2100,937,37,23,0.9806264126574104,69.1471847217649,30.852815278235102,1.1947045527930256,0.7426541814659348
BIOBÍO,TOME,23518,23361,17793,5568,101,56,0.9933242622671996,76.16540387825863,23.834596121741363,0.4294582872693256,0.2381154860107152
BIOBÍO,TUCAPEL,5255,5206,3939,1267,29,20,0.9906755470980019,75.66269688820591,24.337303111794085,0.5518553758325404,0.3805899143672693
BIOBÍO,YUMBEL,7476,7395,5246,2149,56,25,0.9891653290529695,70.93982420554428,29.060175794455713,0.7490636704119851,0.33440342429106473
COQUIMBO,ANDACOLLO,6071,6032,5450,582,26,13,0.9935760171306209,90.35145888594165,9.648541114058355,0.4282655246252677,0.21413276231263384
COQUIMBO,CAMIÑA,513,500,293,207,11,2,0.9746588693957114,58.599999999999994,41.4,2.144249512670565,0.3898635477582846
COQUIMBO,COLTAUCO,7567,7517,6177,1340,34,16,0.9933923615699749,82.17373952374616,17.826260476253825,0.44931941324170743,0.2114444297608035
COQUIMBO,COPIAPO,60971,60677,51042,9635,230,64,0.9951780354594807,84.12083656080557,15.879163439194425,0.3772285184759968,0.10496793557592955
COQUIMBO,ILLAPEL,12633,12548,11166,1382,56,29,0.9932715902794269,88.9862926362767,11.013707363723302,0.4432834639436397,0.22955750811367057
COQUIMBO,LA HIGUERA,1564,1551,1345,206,9,4,0.9916879795396419,86.71824629271437,13.281753707285624,0.5754475703324808,0.2557544757033248
COQUIMBO,LA SERENA,90133,89790,73254,16536,237,106,0.9961945125536706,81.58369528900768,18.416304710992314,0.2629447594110925,0.11760398522183883
COQUIMBO,LOS VILOS,8875,8832,7679,1153,24,19,0.9951549295774648,86.94519927536231,13.05480072463768,0.2704225352112676,0.2140845070422535
COQUIMBO,MONTE PATRIA,11199,11120,9845,1275,56,23,0.9929457987320296,88.5341726618705,11.465827338129495,0.5000446468434682,0.2053754799535673
COQUIMBO,OVALLE,40338,40079,34181,5898,170,89,0.993579255292776,85.28406397365204,14.715936026347961,0.4214388417869007,0.22063562893549507
COQUIMBO,PAIHUANO,2414,2400,1958,442,8,6,0.9942004971002486,81.58333333333333,18.416666666666668,0.33140016570008285,0.24855012427506215
COQUIMBO,PUNITAQUI,4175,4132,3627,505,27,16,0.9897005988023952,87.7783155856728,12.221684414327202,0.6467065868263473,0.38323353293413176
COQUIMBO,RIO HURTADO,1638,1619,1353,266,9,10,0.9884004884004884,83.57010500308833,16.429894996911674,0.5494505494505495,0.6105006105006106
